Frequency (A),Statistical unit (REG_KCPE),Sex (M),Unit of measure (NUMBER),Breakdown group identifier (_Z),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Subject,Total,Number,Kiswahili Insha,2022,57.84,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2023,49.1,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili Insha,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2015,54.38,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2016,48.27,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2017,47.88,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2018,46.88,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2019,51.73,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2020,46.88,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2021,53.2,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2022,56.28,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2023,54,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Mathematics,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2015,56.16,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2016,45.39,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2017,51.14,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2018,43.13,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2019,49.09,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2020,54.91,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2021,49.56,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2022,47.54,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2023,44.7,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Science,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Social Studies and Religious Education,2015,55.48,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Social Studies and Religious Education,2016,61.82,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Social Studies and Religious Education,2017,55.61,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Social Studies and Religious Education,2018,58.96,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
