Frequency (A),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Grade 11 / Form 3,Male,Number,2023,494.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2024,497.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Male,Number,2025,522.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2015,296.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2016,324.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2017,335.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2018,348.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2019,387.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2020,434.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2021,469.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2022,504,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2023,513.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2024,513.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Female,Number,2025,545.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2015,627.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2016,669.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2017,691.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2018,717.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2019,776.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2020,868.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2021,924.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2022,991.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2023,1008.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2024,1011.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 11 / Form 3,Total,Number,2025,1067.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2015,277.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2016,296.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2017,303,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2018,312.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2019,363.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2020,373.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2021,453.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2022,470,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2023,466.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2024,481.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Male,Number,2025,490.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2015,230.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2016,266.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2017,275.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2018,285,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2019,350.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2020,373.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 12 / Form 4,Female,Number,2021,458.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
