Frequency,Statistical unit,Unit of measure,Breakdown group identifier,Time period,Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Below Expectation (%),%,Music,2022,10.29,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Music,2023,18.85,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Music,2024,25.03,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Music,2025,11.81,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Christian Religious Education,2022,2.63,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Christian Religious Education,2023,7.64,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Christian Religious Education,2024,14.54,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Christian Religious Education,2025,8.99,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Islamic Religios Education,2022,2.45,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Islamic Religios Education,2023,13.13,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Islamic Religios Education,2024,9.72,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Islamic Religios Education,2025,9.84,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Hindu Religious Education,2022,0,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Hindu Religious Education,2023,21.21,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Hindu Religious Education,2024,0,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Below Expectation (%),%,Hindu Religious Education,2025,8.33,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
